vuelta_id,estilo_piloto,circuito,velocidad_max_kmh,velocidad_media_kmh,frenadas_fuertes,g_lateral_max,tiempo_vuelta_s,desgaste_neumatico_pct,combustible_consumido_l
77,Equilibrado,Suzuka,302.0,162.0,16,3.64,99.37,23.1,3.03
78,Equilibrado,Barcelona,286.8,152.4,16,3.52,93.1,21.8,3.39
79,Equilibrado,Monaco,310.3,157.7,18,3.37,94.22,19.6,3.42
80,Equilibrado,Suzuka,279.9,161.2,16,3.62,96.72,25.4,3.47
81,Equilibrado,Silverstone,305.5,161.6,12,3.22,96.61,24.8,3.46
82,Equilibrado,Suzuka,284.7,145.6,18,3.26,96.9,21.2,3.21
83,Equilibrado,Silverstone,306.7,159.0,14,3.44,97.13,19.7,3.19
84,Equilibrado,Monaco,289.5,160.2,17,3.38,98.69,22.0,3.01
85,Equilibrado,Silverstone,277.8,158.8,14,3.53,95.95,23.0,3.28
86,Equilibrado,Suzuka,292.2,152.0,15,3.22,95.01,19.1,3.15
87,Equilibrado,Monza,300.7,164.0,17,3.15,94.73,22.4,3.58
88,Equilibrado,Interlagos,291.1,150.7,12,3.67,95.37,21.2,3.24
89,Equilibrado,Suzuka,291.5,150.5,12,3.44,98.58,19.1,3.69
90,Equilibrado,Monaco,272.5,145.2,14,3.38,96.52,19.7,3.04
91,Equilibrado,Interlagos,289.0,161.4,15,3.39,97.62,24.2,3.12
92,Equilibrado,Interlagos,292.8,151.1,13,3.09,99.12,23.5,3.63
93,Equilibrado,Spa,302.1,152.6,15,3.24,97.71,21.9,3.45
94,Equilibrado,Monza,294.8,159.8,18,3.17,94.69,23.9,3.13
95,Equilibrado,Spa,292.3,148.1,15,3.36,97.75,20.6,3.19
96,Equilibrado,Suzuka,280.4,162.2,12,3.55,100.39,25.1,3.5
97,Equilibrado,Suzuka,303.4,149.0,12,3.44,98.18,26.2,3.66
98,Equilibrado,Monza,270.6,160.9,16,3.6,97.55,20.6,3.1
99,Equilibrado,Suzuka,281.4,153.1,14,3.4,96.95,18.7,3.03
100,Equilibrado,Monaco,300.3,157.1,12,3.07,100.7,25.5,3.46
101,Conservador,Monza,278.0,142.8,9,2.62,107.39,10.6,2.77
102,Conservador,Monaco,275.0,132.0,11,2.49,107.96,17.7,2.72
103,Conservador,Monaco,254.0,142.7,13,2.24,103.53,13.5,2.9
104,Conservador,Monaco,271.3,140.1,10,2.18,101.78,10.0,3.0
105,Conservador,Interlagos,260.5,149.7,12,2.88,104.08,9.5,2.77
106,Conservador,Barcelona,269.2,141.8,13,2.15,101.94,10.2,2.56
107,Conservador,Suzuka,259.4,128.6,12,2.65,101.63,10.4,2.8
108,Conservador,Barcelona,256.7,132.9,13,2.92,104.08,10.1,3.05
109,Conservador,Monaco,275.6,134.4,12,2.35,108.18,17.8,2.52
110,Conservador,Barcelona,247.2,132.2,11,2.56,108.67,16.8,2.55
111,Conservador,Interlagos,272.8,135.5,13,2.56,108.03,11.5,2.57
112,Conservador,Barcelona,262.9,142.5,13,2.23,104.92,12.1,2.8
113,Conservador,Barcelona,255.6,148.5,13,2.27,106.67,14.1,2.51
114,Conservador,Interlagos,256.8,135.0,10,2.73,107.93,12.5,2.9
115,Conservador,Interlagos,265.5,131.3,7,2.21,109.62,12.0,2.39
116,Conservador,Interlagos,257.9,139.6,10,2.11,100.59,16.8,3.17
117,Conservador,Monza,258.9,149.3,9,2.66,103.37,9.7,2.6
118,Conservador,Suzuka,272.9,136.4,9,2.66,108.76,13.4,2.79
119,Conservador,Barcelona,244.5,141.9,9,3.0,107.21,12.9,2.39
120,Conservador,Suzuka,267.3,130.2,8,2.72,108.94,9.4,3.02
121,Conservador,Silverstone,254.9,137.5,8,2.58,105.23,16.1,2.45
122,Conservador,Monza,263.9,136.4,12,2.32,109.04,10.3,2.72
123,Conservador,Silverstone,258.5,142.7,13,2.52,102.16,13.9,2.37
124,Conservador,Silverstone,277.6,134.6,10,2.72,104.03,11.7,3.2
125,Conservador,Interlagos,259.4,133.2,11,2.42,102.25,15.3,2.32
126,Conservador,Interlagos,265.7,134.0,11,2.88,107.56,17.8,3.12
127,Conservador,Suzuka,259.9,147.9,9,2.8,101.53,16.2,2.5
128,Conservador,Spa,264.4,142.9,12,2.79,106.49,10.2,2.39
129,Conservador,Suzuka,265.3,134.8,10,2.13,103.01,10.2,3.12
130,Conservador,Silverstone,268.9,131.9,8,2.81,108.64,12.3,2.75
131,Conservador,Silverstone,271.9,133.7,13,2.95,109.64,11.7,3.08
132,Conservador,Interlagos,246.1,149.2,8,2.78,101.48,15.1,2.91
133,Conservador,Monaco,276.8,145.7,9,2.18,103.34,11.4,2.41
134,Conservador,Silverstone,266.2,142.8,11,2.44,106.02,12.3,2.91
135,Conservador,Monaco,242.9,147.5,11,2.4,105.71,14.8,2.87
136,Conservador,Monaco,274.7,134.6,10,2.21,99.5,9.3,3.2
137,Conservador,Monza,245.5,147.5,8,2.45,103.08,17.5,2.93
138,Conservador,Barcelona,257.1,144.3,8,2.9,106.2,16.5,2.85
139,Conservador,Silverstone,243.2,136.2,10,2.5,101.6,12.3,3.18
140,Conservador,Silverstone,261.6,149.5,9,2.15,102.03,17.7,3.15
141,Conservador,Interlagos,258.4,142.6,12,2.68,109.68,9.5,2.6
142,Conservador,Spa,270.3,132.5,13,2.79,101.28,10.9,3.08
143,Conservador,Silverstone,269.9,145.4,11,2.1,108.44,10.3,2.42
144,Conservador,Silverstone,270.7,130.4,13,2.12,99.16,16.1,2.51
145,Conservador,Silverstone,242.6,133.8,8,2.77,104.79,15.7,2.73
146,Conservador,Interlagos,255.0,141.1,10,2.55,109.4,9.4,3.0
147,Conservador,Interlagos,265.7,134.6,12,2.97,99.67,13.3,2.66
148,Conservador,Suzuka,245.9,143.7,10,2.17,99.89,14.5,2.36
149,Conservador,Silverstone,264.5,140.9,12,2.39,109.94,13.8,2.71
150,Conservador,Barcelona,257.5,145.4,7,2.87,106.16,15.9,2.95
