marca,modelo,anio,cilindrada_cc,potencia_cv,peso_kg,traccion,combustible,tiempo_0_100,precio_eur,consumo_l100km,categoria
Ford,Mustang Shelby GT500,2020,5200,760,1899,RWD,Gasolina,3.3,78000,15.4,Deportivo
Ford,Focus RS,2018,1998,350,1362,AWD,Gasolina,4.7,44000,9.5,Deportivo
Honda,Civic Type R,2023,1995,330,1432,FWD,Gasolina,5.4,46000,8.9,Deportivo
Renault,Mégane RS Trophy,2019,1798,300,1427,FWD,Gasolina,5.7,40000,8.5,Deportivo
Alpine,A110 S,2021,1798,292,1114,RWD,Gasolina,4.4,72000,7.2,Deportivo
Alpine,A110 R,2022,1798,300,1082,RWD,Gasolina,4.2,100000,7.0,Deportivo
Toyota,GR Yaris,2021,1618,261,1280,AWD,Gasolina,5.5,38000,8.0,Deportivo
Toyota,GR Supra,2021,2998,387,1570,RWD,Gasolina,4.3,62000,9.2,Deportivo
Toyota,GR86,2022,2387,235,1270,RWD,Gasolina,6.3,32000,9.5,Deportivo
Subaru,WRX STI,2020,2457,304,1495,AWD,Gasolina,5.1,45000,11.2,Deportivo
Mitsubishi,Lancer Evo X,2015,1998,295,999,AWD,Gasolina,5.3,35000,11.5,Deportivo
Mazda,MX-5 RF,2022,1998,184,1020,RWD,Gasolina,6.5,35000,7.5,Deportivo
Nissan,GT-R Nismo,2020,3799,600,1760,AWD,Gasolina,2.7,210000,12.4,Superdeportivo
Tesla,Model S Plaid,2022,NA,1020,2162,AWD,Electrico,2.1,112000,NA,Gran Turismo
Tesla,Roadster,2024,NA,1914,1334,AWD,Electrico,1.9,NA,NA,Superdeportivo
Tesla,Model 3 Performance,2023,NA,460,1847,AWD,Electrico,3.3,52000,NA,Deportivo
Rimac,Nevera,2022,NA,1914,2150,AWD,Electrico,1.97,2200000,NA,Superdeportivo
Bugatti,Chiron Super Sport,2021,7993,1600,1978,AWD,Gasolina,2.4,3200000,22.5,Superdeportivo
Koenigsegg,Jesko Absolut,2023,5065,1600,1420,RWD,Gasolina,NA,3400000,NA,Superdeportivo
Pagani,Huayra BC,2020,5980,800,1218,RWD,Gasolina,2.8,2800000,NA,Superdeportivo
Aston Martin,Vantage F1 Edition,2021,3982,535,1570,RWD,Gasolina,3.5,165000,12.5,Superdeportivo
Aston Martin,DBX707,2022,3982,707,2245,AWD,Gasolina,3.3,235000,13.7,SUV
Alfa Romeo,Giulia Quadrifoglio,2021,2891,510,1580,RWD,Gasolina,3.9,84000,11.5,Deportivo
Alfa Romeo,Stelvio Quadrifoglio,2021,2891,510,1830,AWD,Gasolina,3.8,89000,11.2,SUV
